IP地址,数据中心,地区,城市,网络延迟
104.20.16.237,HKG,亚太地区,香港,143 ms
104.20.18.220,HKG,亚太地区,香港,143 ms
104.20.17.61,HKG,亚太地区,香港,145 ms
104.20.26.29,HKG,亚太地区,香港,145 ms
104.20.24.0,HKG,亚太地区,香港,148 ms
104.20.23.25,HKG,亚太地区,香港,150 ms
104.20.30.66,HKG,亚太地区,香港,155 ms
104.20.22.42,HKG,亚太地区,香港,156 ms
104.20.29.102,HKG,亚太地区,香港,156 ms
104.20.28.148,HKG,亚太地区,香港,156 ms
104.20.21.115,HKG,亚太地区,香港,157 ms
104.18.202.199,SJC,北美洲,圣何塞,157 ms
104.20.31.41,HKG,亚太地区,香港,158 ms
104.17.31.64,SJC,北美洲,圣何塞,158 ms
104.18.197.234,SJC,北美洲,圣何塞,161 ms
104.18.192.165,SJC,北美洲,圣何塞,161 ms
104.17.26.40,SJC,北美洲,圣何塞,161 ms
104.20.20.244,HKG,亚太地区,香港,162 ms
104.20.27.141,HKG,亚太地区,香港,162 ms
104.18.171.11,SJC,北美洲,圣何塞,162 ms
104.20.25.128,HKG,亚太地区,香港,163 ms
104.17.67.41,SJC,北美洲,圣何塞,163 ms
104.17.72.245,SJC,北美洲,圣何塞,163 ms
104.17.32.160,SJC,北美洲,圣何塞,164 ms
104.17.55.157,SJC,北美洲,圣何塞,164 ms
104.20.19.64,HKG,亚太地区,香港,165 ms
104.18.253.221,SJC,北美洲,圣何塞,165 ms
104.16.241.81,SJC,北美洲,圣何塞,165 ms
104.18.247.0,SJC,北美洲,圣何塞,165 ms
104.18.82.37,SJC,北美洲,圣何塞,165 ms
104.17.64.128,SJC,北美洲,圣何塞,166 ms
104.18.246.89,SJC,北美洲,圣何塞,166 ms
104.17.30.191,SJC,北美洲,圣何塞,167 ms
104.18.189.113,SJC,北美洲,圣何塞,168 ms
104.18.227.147,SJC,北美洲,圣何塞,168 ms
104.16.53.190,SJC,北美洲,圣何塞,168 ms
104.17.89.9,SJC,北美洲,圣何塞,168 ms
104.16.114.72,SJC,北美洲,圣何塞,168 ms
104.17.50.19,SJC,北美洲,圣何塞,169 ms
104.18.90.2,SJC,北美洲,圣何塞,169 ms
104.16.81.66,SJC,北美洲,圣何塞,169 ms
104.19.158.171,SJC,北美洲,圣何塞,170 ms
104.18.195.193,SJC,北美洲,圣何塞,170 ms
104.17.239.228,SJC,北美洲,圣何塞,170 ms
104.18.172.148,SJC,北美洲,圣何塞,170 ms
104.16.120.240,SJC,北美洲,圣何塞,171 ms
104.17.98.32,SJC,北美洲,圣何塞,171 ms
104.17.95.213,SJC,北美洲,圣何塞,171 ms
104.17.227.226,SJC,北美洲,圣何塞,172 ms
104.19.255.244,SJC,北美洲,圣何塞,172 ms
104.18.98.178,SJC,北美洲,圣何塞,172 ms
104.17.96.185,SJC,北美洲,圣何塞,172 ms
104.18.249.70,SJC,北美洲,圣何塞,172 ms
104.18.221.120,SJC,北美洲,圣何塞,172 ms
104.18.225.92,SJC,北美洲,圣何塞,173 ms
104.18.244.188,SJC,北美洲,圣何塞,173 ms
104.17.71.197,SJC,北美洲,圣何塞,173 ms
104.16.65.236,SJC,北美洲,圣何塞,173 ms
104.16.133.63,SJC,北美洲,圣何塞,173 ms
104.18.182.144,SJC,北美洲,圣何塞,174 ms
104.18.250.9,SJC,北美洲,圣何塞,174 ms
104.17.221.6,SJC,北美洲,圣何塞,174 ms
104.17.18.90,SJC,北美洲,圣何塞,175 ms
104.18.228.93,SJC,北美洲,圣何塞,175 ms
104.19.248.72,SJC,北美洲,圣何塞,175 ms
104.16.243.195,SJC,北美洲,圣何塞,175 ms
104.17.127.240,SJC,北美洲,圣何塞,175 ms
104.18.115.248,SJC,北美洲,圣何塞,175 ms
104.18.204.230,SJC,北美洲,圣何塞,175 ms
104.19.187.146,SJC,北美洲,圣何塞,175 ms
104.18.120.84,SJC,北美洲,圣何塞,175 ms
104.17.41.137,SJC,北美洲,圣何塞,175 ms
104.17.111.18,SJC,北美洲,圣何塞,176 ms
104.18.243.184,SJC,北美洲,圣何塞,176 ms
104.19.153.101,SJC,北美洲,圣何塞,176 ms
104.17.148.75,SJC,北美洲,圣何塞,176 ms
104.17.14.245,SJC,北美洲,圣何塞,176 ms
104.17.93.35,SJC,北美洲,圣何塞,176 ms
104.18.237.146,SJC,北美洲,圣何塞,176 ms
104.17.4.149,SJC,北美洲,圣何塞,176 ms
104.17.103.185,SJC,北美洲,圣何塞,176 ms
104.18.108.58,SJC,北美洲,圣何塞,177 ms
104.18.255.167,SJC,北美洲,圣何塞,177 ms
104.18.211.59,SJC,北美洲,圣何塞,177 ms
104.19.253.10,SJC,北美洲,圣何塞,177 ms
104.19.229.18,SJC,北美洲,圣何塞,177 ms
104.18.161.103,SJC,北美洲,圣何塞,177 ms
104.19.250.214,SJC,北美洲,圣何塞,177 ms
104.17.91.253,SJC,北美洲,圣何塞,177 ms
104.17.43.165,SJC,北美洲,圣何塞,178 ms
104.16.70.133,SJC,北美洲,圣何塞,178 ms
104.17.197.210,SJC,北美洲,圣何塞,178 ms
104.18.213.3,SJC,北美洲,圣何塞,178 ms
104.17.149.92,SJC,北美洲,圣何塞,178 ms
104.18.136.215,SJC,北美洲,圣何塞,178 ms
104.17.110.212,SJC,北美洲,圣何塞,178 ms
104.18.215.217,SJC,北美洲,圣何塞,178 ms
104.17.204.173,SJC,北美洲,圣何塞,178 ms
104.17.58.141,SJC,北美洲,圣何塞,179 ms
104.16.2.3,SJC,北美洲,圣何塞,179 ms
104.19.172.130,SJC,北美洲,圣何塞,179 ms
104.17.185.204,SJC,北美洲,圣何塞,179 ms
104.19.221.180,SJC,北美洲,圣何塞,179 ms
104.18.87.22,SJC,北美洲,圣何塞,179 ms
104.18.92.53,SJC,北美洲,圣何塞,179 ms
104.19.232.68,SJC,北美洲,圣何塞,179 ms
104.18.166.255,SJC,北美洲,圣何塞,179 ms
104.17.118.77,SJC,北美洲,圣何塞,179 ms
104.17.247.195,SJC,北美洲,圣何塞,180 ms
1.0.0.169,LAX,北美洲,洛杉矶,180 ms
104.17.241.167,SJC,北美洲,圣何塞,180 ms
104.18.75.151,SJC,北美洲,圣何塞,180 ms
104.17.38.122,SJC,北美洲,圣何塞,180 ms
104.19.212.67,SJC,北美洲,圣何塞,180 ms
104.18.220.44,SJC,北美洲,圣何塞,180 ms
104.18.230.183,SJC,北美洲,圣何塞,180 ms
104.19.175.149,SJC,北美洲,圣何塞,180 ms
104.18.151.167,SJC,北美洲,圣何塞,181 ms
104.19.173.242,SJC,北美洲,圣何塞,181 ms
104.17.40.112,SJC,北美洲,圣何塞,181 ms
104.18.248.209,SJC,北美洲,圣何塞,181 ms
104.17.60.59,SJC,北美洲,圣何塞,181 ms
104.19.208.174,SJC,北美洲,圣何塞,182 ms
104.18.254.235,SJC,北美洲,圣何塞,182 ms
104.16.167.65,SJC,北美洲,圣何塞,182 ms
104.17.143.111,SJC,北美洲,圣何塞,182 ms
104.16.134.68,SJC,北美洲,圣何塞,182 ms
104.18.233.2,SJC,北美洲,圣何塞,182 ms
